player,position,team,value
Tyler Higbee,TE,LAR,1
Bills D/ST,DST,BUF,1
Packers D/ST,DST,GB,1
Saints D/ST,DST,NO,1
Buccaneers D/ST,DST,TB,1
Ravens D/ST,DST,BAL,1
49ers D/ST,DST,SF,1
Cowboys D/ST,DST,DAL,1
Colts D/ST,DST,IND,1
Steelers D/ST,DST,PIT,1
Dolphins D/ST,DST,MIA,1
Justin Tucker,K,BAL,1
Evan McPherson,K,CIN,1
Matt Gay,K,LAR,1
Harrison Butker,K,KC,1
Daniel Carlson,K,LV,1
Brandon McManus,K,DEN,1
Nick Folk,K,NE,1
Tyler Bass,K,BUF,1
Matt Prater,K,ARI,1
Graham Gano,K,NYG,1
Brian Robinson Jr.,RB,WAS,0
J.D. McKissic,RB,WAS,0
Kenneth Gainwell,RB,PHI,0
Darrell Henderson Jr.,RB,JAX,0
Alexander Mattison,RB,MIN,0
Jamaal Williams,RB,DET,0
Khalil Herbert,RB,CHI,0
Rex Burkhead,RB,HOU,0
Tyler Allgeier,RB,ATL,0
Jerick McKinnon,RB,KC,0
Kenny Golladay,WR,NYG,0
Jalen Tolbert,WR,DAL,0
George Pickens,WR,PIT,0
Rondale Moore,WR,ARI,0
Nico Collins,WR,HOU,0
Wan'Dale Robinson,WR,NYG,0
Julio Jones,WR,TB,0
Alec Pierce,WR,IND,0
Mecole Hardman,WR,KC,0
Van Jefferson,WR,LAR,0
Isaiah McKenzie,WR,BUF,0
Jamison Crowder,WR,BUF,0
Jameson Williams,WR,DET,0
Evan Engram,TE,JAX,0
Austin Hooper,TE,TEN,0
Hayden Hurst,TE,CIN,0
Daniel Jones,QB,NYG,0
Jameis Winston,QB,NO,0
Chargers D/ST,DST,LAC,0
Commanders D/ST,DST,WAS,0
Greg Joseph,K,MIN,0
Jake Elliott,K,PHI,0
Rachaad White,RB,TB,0
Mike Davis,RB,BAL,0
Zamir White,RB,LV,0
Isiah Pacheco,RB,KC,0
Mark Ingram II,RB,NO,0
Damien Williams,RB,ATL,0
Samaje Perine,RB,CIN,0
Dontrell Hilliard,RB,TEN,0
